,UID,group,overpass,land_cover,mast,yast,theta,ncsa,mast_unc,yast_unc,theta_unc
183,EUR199525,weekend,N,rural_bare,280.6377869,6.135861397,-33.48531723,166,0.252012968,0.3200216,2.919256687
184,EUR199526,workday,D,urban,289.3640442,23.61161995,-17.69753647,1183,0.15458627,0.242543787,0.483940601
185,EUR199526,workday,D,rural_bare,288.3743286,23.33272552,-18.97604561,933,0.176448688,0.297216773,0.545189857
186,EUR199526,weekend,D,urban,289.213562,24.24787903,-17.12973213,440,0.24388434,0.377637535,0.745783269
187,EUR199526,weekend,D,rural_bare,287.9762268,23.88873482,-18.29802704,357,0.273733228,0.441886514,0.840215087
188,EUR199526,workday,N,urban,277.4910278,14.55904961,-26.38713837,2069,0.098992862,0.144396797,0.533910692
189,EUR199526,workday,N,rural_bare,276.1430359,13.41748619,-27.37253189,1902,0.106066681,0.154696569,0.617036939
190,EUR199526,weekend,N,urban,277.5919189,14.7298317,-26.23680115,864,0.158274621,0.227847293,0.85571599
191,EUR199526,weekend,N,rural_bare,276.2689209,13.48238087,-26.5064373,766,0.167555109,0.240912765,0.987190366
192,EUR199527,workday,D,urban,289.483429,22.40553474,-17.53311539,1194,0.147376552,0.229888424,0.481748641
193,EUR199527,workday,D,rural_bare,288.4385986,21.9915657,-19.25229836,894,0.175944716,0.285313517,0.584003508
194,EUR199527,weekend,D,urban,289.2011414,22.36972618,-18.21600151,465,0.247787789,0.392645597,0.789306223
195,EUR199527,weekend,D,rural_bare,288.2684631,22.19996834,-19.44643021,334,0.294649661,0.491006404,0.951778591
196,EUR199527,workday,N,urban,277.9110107,13.53833103,-26.89273643,2101,0.09723147,0.141524583,0.563499331
197,EUR199527,workday,N,rural_bare,276.6875,12.73158455,-28.20960999,1814,0.105539553,0.151715174,0.65373683
198,EUR199527,weekend,N,urban,277.9126587,14.1304636,-26.73716545,841,0.156914487,0.230196133,0.869889736
